Final_Exam,Avg_Grade_Q1,Avg_Grade_Q2,Avg_Grade_Q3,Avg_Grade_Q4,Avg_Grade_Q5,Avg_Grade_Q6,Student_ID
8.98,5,10,10,10,0,8,1046
6.9,9,10,10,10,10,10,1050
7.69,6,9,5,4,9,4,1052
7.78,8.33,10,10,10,10,10,1054
6.02,6.67,8,9,10,6,6,1056
6.02,8,5,6.5,8,3,7,1058
7.64,8.5,8,8,10,10,9.5,1064
7.25,3,10,6,6.5,4,5,1070
6.53,9.33,10,8,10,8,7.5,1078
5.28,9.5,10,3,7,0,4,1080
7.59,6,4,2,2,6,3,1082
5.79,7.33,7,2,5,8,6,1088
5.6,0,2,3,4,4,3.5,1092
9.07,6.25,9,4.25,8,7.25,5,1096
8.52,7,10,6.5,8,10,7,1100
5.74,7,10,8,9,8,9,1104
9.17,8,10,5,9,5.5,9,1106
8.24,8,6,5,0,0,0,1108
9.24,7.67,8.67,5.5,9.33,8.33,5.67,1114
7.36,7.67,8,3,3,5,7,1118
6.94,2.67,6,2,7,5,6,1122
9.72,6,0,0,0,0,0,1124
7.41,9,8,6,8,3,3,1128
9.07,7,10,4,10,9,10,1130
7.5,5,8,0,5,0,0,1132
7.82,7,8,8,7,7,6,1138
8.7,0,8,8,10,7,8,1144
5.93,8,10,7,1,6,0,1146
6.71,7.5,7.33,7.33,7.25,7.33,5.25,1148
8.89,6,9,7,10,8,8,1152
9.17,7,6,2,3,3.5,2,1154
7.13,5,8,3.67,0,5,1,1157
5.83,2,7,3,1,4,5,1166
9.03,7,6,5,8,6,9,1172
5.28,5,5,2,7,8,3,1178
5.93,5,4,2,1,1,2,1184
7.69,6,7,7,8,2,8,1187
6.2,5,6,6,9,3,8,1196
5,9,6,4,5,4,5,1202
7.87,5,10,3,9,7,7,1205
8.06,9.33,9,9,10,9,9,1211
9.72,5,8,2.5,9,7,6,1217
7.69,4,8,5,8,5,2,1220
6.2,7,10,5.5,9,0,0,1229
6.2,7,10,5.5,9,0,0,1229